""	"doy"	"Year"	"Prec_mm"	"T_Celsius"	"ET0_mm"	"DATE"	"site.x"	"meanNDVI"	"meanNDWI"
"1"	8	2017	0	0.0970000000000002	1.80093174624114	2017-01-08	"MFC2"	0.594020688233657	0.105040666673475
"2"	38	2017	0.2	9.46341666666667	1.58344342571685	2017-02-07	"MFC2"	0.56922677176992	0.126764916733395
"3"	68	2017	0	12.7562916666667	2.57074582837863	2017-03-09	"MFC2"	0.623422357398895	0.149027922681081
"4"	88	2017	0	13.5316666666667	2.45338337743023	2017-03-29	"MFC2"	0.622233485113626	0.175835213657895
"5"	98	2017	0	14.7933333333333	2.52172134137428	2017-04-08	"MFC2"	0.656836853301089	0.207813617579329
"6"	138	2017	0	19.705	2.6837315903619	2017-05-18	"MFC2"	0.592669825315131	0.169503250147858
"7"	148	2017	0	20.9508333333333	3.92637742481083	2017-05-28	"MFC2"	0.524261619735598	0.120612348426294
"8"	178	2017	0	26.38625	2.99363426315443	2017-06-27	"MFC2"	0.398373624757936	0.0606333903855961
"9"	188	2017	0	26.2	3.12655012985413	2017-07-07	"MFC2"	0.384900445631102	0.0329325767760189
"10"	193	2017	0	28.60875	4.48068176492557	2017-07-12	"MFC2"	0.382483784618326	0.0204474345632156
"11"	198	2017	0	23.1070833333333	5.05074563646839	2017-07-17	"MFC2"	0.382354304571997	0.0379751882639833
"12"	203	2017	0	28.9570833333333	3.61542262788291	2017-07-22	"MFC2"	0.365223250561528	0.0419073817916392
"13"	218	2017	0	30.5541666666667	3.73680945283333	2017-08-06	"MFC2"	0.364661804418903	0.00725597860608362
"14"	223	2017	0	25.1725	3.17865961995853	2017-08-11	"MFC2"	0.359164803333681	0.00312001667344987
"15"	228	2017	0	26.4795833333333	3.5948556156968	2017-08-16	"MFC2"	0.355325735407697	0.00908052280806949
"16"	233	2017	0	25.1329166666667	4.08484561325274	2017-08-21	"MFC2"	0.353637561259398	0.00375410566525578
"17"	243	2017	0	25.32875	3.06392770813376	2017-08-31	"MFC2"	0.35080318093644	-0.0094918018422146
"18"	253	2017	0.79	23.4991666666667	2.28400023697505	2017-09-10	"MFC2"	0.354711412346424	-0.023743762393853
"19"	258	2017	0	20.42375	2.02820303777318	2017-09-15	"MFC2"	0.422001101110056	-0.0209810390554989
"20"	278	2017	0	20.0779166666667	1.97899393226358	2017-10-05	"MFC2"	0.608568784970171	0.131136504651037
"21"	288	2017	0	18.6733333333333	1.85590029256723	2017-10-15	"MFC2"	0.663698796906901	0.171551388903724
"22"	293	2017	0	18.5454166666667	2.09016672750109	2017-10-20	"MFC2"	0.67058442161204	0.171027530508435
"23"	298	2017	0	15.1354166666667	2.6017144283228	2017-10-25	"MFC2"	0.665756129913601	0.211323561125873
"24"	303	2017	0	15.5520833333333	1.26696659370603	2017-10-30	"MFC2"	0.668907275665946	0.197257707791516
"25"	313	2017	0	13.0616666666667	1.26105471536665	2017-11-09	"MFC2"	0.698819270547458	0.244705955527318
"26"	353	2017	0	4.394625	2.2908438646414	2017-12-19	"MFC2"	0.705347337966129	0.222535878935514
"27"	358	2017	0	10.9112916666667	1.74269714235223	2017-12-24	"MFC2"	0.690079668877291	0.210870297760303
